x,y,z,qx,qy,qz,qw,u
0.05660,0.15181,0.14098,0.50184,0.50155,-0.48631,0.51001,0.00000
0.05660,0.15178,0.14098,0.50184,0.50155,-0.48631,0.51001,0.06301
0.05661,0.15175,0.14098,0.50184,0.50155,-0.48631,0.51001,0.09466
0.05661,0.15172,0.14098,0.50184,0.50155,-0.48631,0.51001,0.12643
0.05661,0.15168,0.14098,0.50184,0.50155,-0.48631,0.51001,0.15831
0.05661,0.15165,0.14098,0.50184,0.50155,-0.48631,0.51001,0.19031
0.05661,0.15162,0.14098,0.50184,0.50155,-0.48631,0.51001,0.22242
0.05661,0.15160,0.14098,0.50184,0.50155,-0.48631,0.51001,0.25464
0.05661,0.15156,0.14098,0.50184,0.50155,-0.48631,0.51001,0.28697
0.05661,0.15153,0.14098,0.50184,0.50155,-0.48631,0.51001,0.31940
0.05661,0.15150,0.14098,0.50184,0.50155,-0.48631,0.51001,0.35195
0.05661,0.15147,0.14098,0.50184,0.50155,-0.48631,0.51001,0.38459
0.05661,0.15143,0.14098,0.50184,0.50155,-0.48631,0.51001,0.41734
0.05661,0.15140,0.14098,0.50184,0.50155,-0.48631,0.51001,0.45020
0.05661,0.15137,0.14098,0.50184,0.50155,-0.48631,0.51001,0.48315
0.05662,0.15134,0.14098,0.50184,0.50155,-0.48631,0.51001,0.51620
0.05662,0.15130,0.14097,0.50184,0.50155,-0.48631,0.51001,0.54934
0.05662,0.15127,0.14097,0.50184,0.50155,-0.48631,0.51001,0.58259
0.05662,0.15124,0.14097,0.50184,0.50155,-0.48631,0.51001,0.61592
0.05662,0.15120,0.14097,0.50184,0.50155,-0.48631,0.51001,0.64935
0.05662,0.15117,0.14097,0.50184,0.50155,-0.48631,0.51001,0.68286
0.05662,0.15114,0.14097,0.50184,0.50155,-0.48631,0.51001,0.71647
0.05662,0.15110,0.14097,0.50184,0.50155,-0.48631,0.51001,0.75016
0.05662,0.15107,0.14097,0.50184,0.50155,-0.48631,0.51001,0.78393
0.05662,0.15103,0.14097,0.50184,0.50155,-0.48631,0.51001,0.81779
0.05662,0.15100,0.14097,0.50184,0.50155,-0.48631,0.51001,0.85172
0.05662,0.15097,0.14097,0.50184,0.50155,-0.48631,0.51001,0.88574
0.05662,0.15093,0.14097,0.50184,0.50155,-0.48631,0.51001,0.91983
0.05663,0.15090,0.14097,0.50184,0.50155,-0.48631,0.51001,0.95399
0.05663,0.15086,0.14097,0.50184,0.50155,-0.48631,0.51001,0.98822
0.05663,0.15083,0.14097,0.50184,0.50155,-0.48631,0.51001,1.02253
0.05663,0.15080,0.14097,0.50184,0.50155,-0.48631,0.51001,1.05690
0.05663,0.15076,0.14097,0.50184,0.50155,-0.48631,0.51001,1.09134
0.05663,0.15073,0.14097,0.50184,0.50155,-0.48631,0.51001,1.12584
0.05663,0.15069,0.14097,0.50184,0.50155,-0.48631,0.51001,1.16040
0.05663,0.15066,0.14097,0.50184,0.50155,-0.48631,0.51001,1.19502
0.05663,0.15062,0.14097,0.50184,0.50155,-0.48631,0.51001,1.22969
0.05663,0.15059,0.14097,0.50184,0.50155,-0.48631,0.51001,1.26442
0.05663,0.15055,0.14097,0.50184,0.50155,-0.48631,0.51001,1.29920
0.05663,0.15052,0.14097,0.50184,0.50155,-0.48631,0.51001,1.33403
0.05664,0.15048,0.14097,0.50184,0.50155,-0.48631,0.51001,1.36891
0.05664,0.15045,0.14097,0.50184,0.50155,-0.48631,0.51001,1.40383
0.05664,0.15041,0.14097,0.50184,0.50155,-0.48631,0.51001,1.43879
0.05664,0.15038,0.14097,0.50184,0.50155,-0.48631,0.51001,1.47379
0.05664,0.15034,0.14097,0.50184,0.50155,-0.48631,0.51001,1.50882
0.05664,0.15031,0.14097,0.50184,0.50155,-0.48631,0.51001,1.54389
0.05664,0.15027,0.14097,0.50184,0.50155,-0.48631,0.51001,1.57899
0.05664,0.15024,0.14097,0.50184,0.50155,-0.48631,0.51001,1.61412
0.05664,0.15020,0.14097,0.50184,0.50155,-0.48631,0.51001,1.64927
0.05664,0.15017,0.14097,0.50184,0.50155,-0.48631,0.51001,1.68444
0.05664,0.15013,0.14097,0.50184,0.50155,-0.48631,0.51001,1.71964
0.05664,0.15010,0.14097,0.50184,0.50155,-0.48631,0.51001,1.75485
0.05665,0.15006,0.14097,0.50184,0.50155,-0.48631,0.51001,1.79007
0.05665,0.15003,0.14097,0.50184,0.50155,-0.48631,0.51001,1.82531
0.05665,0.14999,0.14097,0.50184,0.50155,-0.48631,0.51001,1.86055
0.05665,0.14996,0.14097,0.50184,0.50155,-0.48631,0.51001,1.89580
0.05665,0.14992,0.14097,0.50184,0.50155,-0.48631,0.51001,1.93105
0.05665,0.14989,0.14097,0.50184,0.50155,-0.48631,0.51001,1.96630
0.05665,0.14985,0.14097,0.50184,0.50155,-0.48631,0.51001,2.00154
0.05665,0.14982,0.14096,0.50184,0.50155,-0.48631,0.51001,2.03678
0.05665,0.14978,0.14096,0.50184,0.50155,-0.48631,0.51001,2.07200
0.05665,0.14975,0.14096,0.50184,0.50155,-0.48631,0.51001,2.10722
0.05665,0.14971,0.14096,0.50184,0.50155,-0.48631,0.51001,2.14241
0.05665,0.14968,0.14096,0.50184,0.50155,-0.48631,0.51001,2.17758
0.05665,0.14964,0.14096,0.50184,0.50155,-0.48631,0.51001,2.21273
0.05666,0.14961,0.14096,0.50184,0.50155,-0.48631,0.51001,2.24786
0.05666,0.14957,0.14096,0.50184,0.50155,-0.48631,0.51001,2.28295
0.05666,0.14954,0.14096,0.50184,0.50155,-0.48631,0.51001,2.31801
0.05666,0.14950,0.14096,0.50184,0.50155,-0.48631,0.51001,2.35303
0.05666,0.14947,0.14096,0.50184,0.50155,-0.48631,0.51001,2.38801
0.05666,0.14943,0.14096,0.50184,0.50155,-0.48631,0.51001,2.42294
0.05666,0.14940,0.14096,0.50184,0.50155,-0.48631,0.51001,2.45783
0.05666,0.14936,0.14096,0.50184,0.50155,-0.48631,0.51001,2.49267
0.05666,0.14933,0.14096,0.50184,0.50155,-0.48631,0.51001,2.52745
0.05666,0.14929,0.14096,0.50184,0.50155,-0.48631,0.51001,2.56217
0.05666,0.14926,0.14096,0.50184,0.50155,-0.48631,0.51001,2.59682
0.05666,0.14922,0.14096,0.50184,0.50155,-0.48631,0.51001,2.63142
0.05667,0.14919,0.14096,0.50184,0.50155,-0.48631,0.51001,2.66594
0.05667,0.14915,0.14096,0.50184,0.50155,-0.48631,0.51001,2.70038
0.05667,0.14912,0.14096,0.50184,0.50155,-0.48631,0.51001,2.73475
0.05667,0.14908,0.14096,0.50184,0.50155,-0.48631,0.51001,2.76904
0.05667,0.14905,0.14096,0.50184,0.50155,-0.48631,0.51001,2.80324
0.05667,0.14902,0.14096,0.50184,0.50155,-0.48631,0.51001,2.83735
0.05667,0.14898,0.14096,0.50184,0.50155,-0.48631,0.51001,2.87137
0.05667,0.14895,0.14096,0.50184,0.50155,-0.48631,0.51001,2.90529
0.05667,0.14891,0.14096,0.50184,0.50155,-0.48631,0.51001,2.93911
0.05667,0.14888,0.14096,0.50184,0.50155,-0.48631,0.51001,2.97283
0.05667,0.14885,0.14096,0.50184,0.50155,-0.48631,0.51001,3.00643
0.05667,0.14881,0.14096,0.50184,0.50155,-0.48631,0.51001,3.03992
0.05668,0.14878,0.14096,0.50184,0.50155,-0.48631,0.51001,3.07329
0.05668,0.14875,0.14096,0.50184,0.50155,-0.48631,0.51001,3.10654
0.05668,0.14871,0.14096,0.50184,0.50155,-0.48631,0.51001,3.13966
0.05668,0.14868,0.14096,0.50184,0.50155,-0.48631,0.51001,3.17265
0.05668,0.14865,0.14096,0.50184,0.50155,-0.48631,0.51001,3.20551
0.05668,0.14861,0.14096,0.50184,0.50155,-0.48631,0.51001,3.23823
0.05668,0.14858,0.14096,0.50184,0.50155,-0.48631,0.51001,3.27080
0.05668,0.14855,0.14096,0.50184,0.50155,-0.48631,0.51001,3.30322
0.05668,0.14852,0.14096,0.50184,0.50155,-0.48631,0.51001,3.33550
0.05668,0.14848,0.14096,0.50184,0.50155,-0.48631,0.51001,3.36761
0.05668,0.14845,0.14096,0.50184,0.50155,-0.48631,0.51001,3.39957
0.05668,0.14842,0.14096,0.50184,0.50155,-0.48631,0.51001,3.43136
