x,y,z,px,py,pz,pw,u
-0.44200,-0.12100,0.13675,-0.50000,0.50000,0.50000,0.50000,0.00000
-0.44200,-0.12097,0.13675,-0.50000,0.50000,0.50000,0.50000,0.06301
-0.44200,-0.12094,0.13675,-0.50000,0.50000,0.50000,0.50000,0.09466
-0.44200,-0.12091,0.13675,-0.50000,0.50000,0.50000,0.50000,0.12643
-0.44200,-0.12087,0.13675,-0.50000,0.50000,0.50000,0.50000,0.15831
-0.44200,-0.12084,0.13675,-0.50000,0.50000,0.50000,0.50000,0.19031
-0.44200,-0.12081,0.13675,-0.50000,0.50000,0.50000,0.50000,0.22242
-0.44200,-0.12078,0.13675,-0.50000,0.50000,0.50000,0.50000,0.25464
-0.44200,-0.12074,0.13675,-0.50000,0.50000,0.50000,0.50000,0.28697
-0.44200,-0.12071,0.13675,-0.50000,0.50000,0.50000,0.50000,0.31940
-0.44200,-0.12068,0.13675,-0.50000,0.50000,0.50000,0.50000,0.35195
-0.44200,-0.12065,0.13675,-0.50000,0.50000,0.50000,0.50000,0.38459
-0.44200,-0.12061,0.13675,-0.50000,0.50000,0.50000,0.50000,0.41734
-0.44200,-0.12058,0.13675,-0.50000,0.50000,0.50000,0.50000,0.45020
-0.44200,-0.12055,0.13675,-0.50000,0.50000,0.50000,0.50000,0.48315
-0.44200,-0.12052,0.13675,-0.50000,0.50000,0.50000,0.50000,0.51620
-0.44200,-0.12048,0.13675,-0.50000,0.50000,0.50000,0.50000,0.54934
-0.44200,-0.12045,0.13675,-0.50000,0.50000,0.50000,0.50000,0.58259
-0.44200,-0.12042,0.13675,-0.50000,0.50000,0.50000,0.50000,0.61592
-0.44200,-0.12038,0.13675,-0.50000,0.50000,0.50000,0.50000,0.64935
-0.44200,-0.12035,0.13675,-0.50000,0.50000,0.50000,0.50000,0.68286
-0.44200,-0.12032,0.13675,-0.50000,0.50000,0.50000,0.50000,0.71647
-0.44200,-0.12028,0.13675,-0.50000,0.50000,0.50000,0.50000,0.75016
-0.44200,-0.12025,0.13675,-0.50000,0.50000,0.50000,0.50000,0.78393
-0.44200,-0.12021,0.13675,-0.50000,0.50000,0.50000,0.50000,0.81779
-0.44200,-0.12018,0.13675,-0.50000,0.50000,0.50000,0.50000,0.85172
-0.44200,-0.12015,0.13675,-0.50000,0.50000,0.50000,0.50000,0.88574
-0.44200,-0.12011,0.13675,-0.50000,0.50000,0.50000,0.50000,0.91983
-0.44200,-0.12008,0.13675,-0.50000,0.50000,0.50000,0.50000,0.95399
-0.44200,-0.12004,0.13675,-0.50000,0.50000,0.50000,0.50000,0.98822
-0.44200,-0.12001,0.13675,-0.50000,0.50000,0.50000,0.50000,1.02253
-0.44200,-0.11998,0.13675,-0.50000,0.50000,0.50000,0.50000,1.05690
-0.44200,-0.11994,0.13675,-0.50000,0.50000,0.50000,0.50000,1.09134
-0.44200,-0.11991,0.13675,-0.50000,0.50000,0.50000,0.50000,1.12584
-0.44200,-0.11987,0.13675,-0.50000,0.50000,0.50000,0.50000,1.16040
-0.44200,-0.11984,0.13675,-0.50000,0.50000,0.50000,0.50000,1.19502
-0.44200,-0.11980,0.13675,-0.50000,0.50000,0.50000,0.50000,1.22969
-0.44200,-0.11977,0.13675,-0.50000,0.50000,0.50000,0.50000,1.26442
-0.44200,-0.11973,0.13675,-0.50000,0.50000,0.50000,0.50000,1.29920
-0.44200,-0.11970,0.13675,-0.50000,0.50000,0.50000,0.50000,1.33403
-0.44200,-0.11966,0.13675,-0.50000,0.50000,0.50000,0.50000,1.36891
-0.44200,-0.11963,0.13675,-0.50000,0.50000,0.50000,0.50000,1.40383
-0.44200,-0.11959,0.13675,-0.50000,0.50000,0.50000,0.50000,1.43879
-0.44200,-0.11956,0.13675,-0.50000,0.50000,0.50000,0.50000,1.47379
-0.44200,-0.11952,0.13675,-0.50000,0.50000,0.50000,0.50000,1.50882
-0.44200,-0.11949,0.13675,-0.50000,0.50000,0.50000,0.50000,1.54389
-0.44200,-0.11945,0.13675,-0.50000,0.50000,0.50000,0.50000,1.57899
-0.44200,-0.11942,0.13675,-0.50000,0.50000,0.50000,0.50000,1.61412
-0.44200,-0.11938,0.13675,-0.50000,0.50000,0.50000,0.50000,1.64927
-0.44200,-0.11935,0.13675,-0.50000,0.50000,0.50000,0.50000,1.68444
-0.44200,-0.11931,0.13675,-0.50000,0.50000,0.50000,0.50000,1.71964
-0.44200,-0.11928,0.13675,-0.50000,0.50000,0.50000,0.50000,1.75485
-0.44200,-0.11924,0.13675,-0.50000,0.50000,0.50000,0.50000,1.79007
-0.44200,-0.11921,0.13675,-0.50000,0.50000,0.50000,0.50000,1.82531
-0.44200,-0.11917,0.13675,-0.50000,0.50000,0.50000,0.50000,1.86055
-0.44200,-0.11914,0.13675,-0.50000,0.50000,0.50000,0.50000,1.89580
-0.44200,-0.11910,0.13675,-0.50000,0.50000,0.50000,0.50000,1.93105
-0.44200,-0.11907,0.13675,-0.50000,0.50000,0.50000,0.50000,1.96630
-0.44200,-0.11903,0.13675,-0.50000,0.50000,0.50000,0.50000,2.00154
-0.44200,-0.11900,0.13675,-0.50000,0.50000,0.50000,0.50000,2.03678
-0.44200,-0.11896,0.13675,-0.50000,0.50000,0.50000,0.50000,2.07200
-0.44200,-0.11893,0.13675,-0.50000,0.50000,0.50000,0.50000,2.10722
-0.44200,-0.11889,0.13675,-0.50000,0.50000,0.50000,0.50000,2.14241
-0.44200,-0.11886,0.13675,-0.50000,0.50000,0.50000,0.50000,2.17758
-0.44200,-0.11882,0.13675,-0.50000,0.50000,0.50000,0.50000,2.21273
-0.44200,-0.11879,0.13675,-0.50000,0.50000,0.50000,0.50000,2.24786
-0.44200,-0.11875,0.13675,-0.50000,0.50000,0.50000,0.50000,2.28295
-0.44200,-0.11872,0.13675,-0.50000,0.50000,0.50000,0.50000,2.31801
-0.44200,-0.11868,0.13675,-0.50000,0.50000,0.50000,0.50000,2.35303
-0.44200,-0.11865,0.13675,-0.50000,0.50000,0.50000,0.50000,2.38801
-0.44200,-0.11861,0.13675,-0.50000,0.50000,0.50000,0.50000,2.42294
-0.44200,-0.11858,0.13675,-0.50000,0.50000,0.50000,0.50000,2.45783
-0.44200,-0.11854,0.13675,-0.50000,0.50000,0.50000,0.50000,2.49267
