x,y,z,px,py,pz,pw,u
-0.44200,-0.12100,0.13675,-0.50000,0.50000,0.50000,0.50000,0.00000
-0.44200,-0.12060,0.13675,-0.50000,0.50000,0.50000,0.50000,0.06301
-0.44200,-0.12020,0.13675,-0.50000,0.50000,0.50000,0.50000,0.09466
-0.44200,-0.11981,0.13675,-0.50000,0.50000,0.50000,0.50000,0.12643
-0.44200,-0.11942,0.13675,-0.50000,0.50000,0.50000,0.50000,0.15831
-0.44200,-0.11904,0.13675,-0.50000,0.50000,0.50000,0.50000,0.19031
-0.44200,-0.11867,0.13675,-0.50000,0.50000,0.50000,0.50000,0.22242
-0.44200,-0.11831,0.13675,-0.50000,0.50000,0.50000,0.50000,0.25464
-0.44200,-0.11797,0.13675,-0.50000,0.50000,0.50000,0.50000,0.28697
-0.44200,-0.11764,0.13675,-0.50000,0.50000,0.50000,0.50000,0.31940
-0.44200,-0.11732,0.13675,-0.50000,0.50000,0.50000,0.50000,0.35195
-0.44200,-0.11703,0.13675,-0.50000,0.50000,0.50000,0.50000,0.38459
-0.44200,-0.11675,0.13675,-0.50000,0.50000,0.50000,0.50000,0.41734
-0.44200,-0.11650,0.13675,-0.50000,0.50000,0.50000,0.50000,0.45020
-0.44200,-0.11626,0.13675,-0.50000,0.50000,0.50000,0.50000,0.48315
-0.44200,-0.11605,0.13675,-0.50000,0.50000,0.50000,0.50000,0.51620
-0.44200,-0.11586,0.13675,-0.50000,0.50000,0.50000,0.50000,0.54934
-0.44200,-0.11570,0.13675,-0.50000,0.50000,0.50000,0.50000,0.58259
-0.44200,-0.11556,0.13675,-0.50000,0.50000,0.50000,0.50000,0.61592
-0.44200,-0.11545,0.13675,-0.50000,0.50000,0.50000,0.50000,0.64935
-0.44200,-0.11537,0.13675,-0.50000,0.50000,0.50000,0.50000,0.68286
-0.44200,-0.11531,0.13675,-0.50000,0.50000,0.50000,0.50000,0.71647
-0.44200,-0.11528,0.13675,-0.50000,0.50000,0.50000,0.50000,0.75016
-0.44200,-0.11527,0.13675,-0.50000,0.50000,0.50000,0.50000,0.78393
-0.44200,-0.11529,0.13675,-0.50000,0.50000,0.50000,0.50000,0.81779
-0.44200,-0.11534,0.13675,-0.50000,0.50000,0.50000,0.50000,0.85172
-0.44200,-0.11541,0.13675,-0.50000,0.50000,0.50000,0.50000,0.88574
-0.44200,-0.11551,0.13675,-0.50000,0.50000,0.50000,0.50000,0.91983
-0.44200,-0.11563,0.13675,-0.50000,0.50000,0.50000,0.50000,0.95399
-0.44200,-0.11578,0.13675,-0.50000,0.50000,0.50000,0.50000,0.98822
-0.44200,-0.11595,0.13675,-0.50000,0.50000,0.50000,0.50000,1.02253
-0.44200,-0.11614,0.13675,-0.50000,0.50000,0.50000,0.50000,1.05690
-0.44200,-0.11635,0.13675,-0.50000,0.50000,0.50000,0.50000,1.09134
-0.44200,-0.11658,0.13675,-0.50000,0.50000,0.50000,0.50000,1.12584
-0.44200,-0.11682,0.13675,-0.50000,0.50000,0.50000,0.50000,1.16040
-0.44200,-0.11709,0.13675,-0.50000,0.50000,0.50000,0.50000,1.19502
-0.44200,-0.11736,0.13675,-0.50000,0.50000,0.50000,0.50000,1.22969
-0.44200,-0.11765,0.13675,-0.50000,0.50000,0.50000,0.50000,1.26442
-0.44200,-0.11795,0.13675,-0.50000,0.50000,0.50000,0.50000,1.29920
-0.44200,-0.11826,0.13675,-0.50000,0.50000,0.50000,0.50000,1.33403
-0.44200,-0.11858,0.13675,-0.50000,0.50000,0.50000,0.50000,1.36891
-0.44200,-0.11891,0.13675,-0.50000,0.50000,0.50000,0.50000,1.40383
-0.44200,-0.11923,0.13675,-0.50000,0.50000,0.50000,0.50000,1.43879
-0.44200,-0.11956,0.13675,-0.50000,0.50000,0.50000,0.50000,1.47379
-0.44200,-0.11989,0.13675,-0.50000,0.50000,0.50000,0.50000,1.50882
-0.44200,-0.12022,0.13675,-0.50000,0.50000,0.50000,0.50000,1.54389
-0.44200,-0.12054,0.13675,-0.50000,0.50000,0.50000,0.50000,1.57899
-0.44200,-0.12085,0.13675,-0.50000,0.50000,0.50000,0.50000,1.61412
-0.44200,-0.12116,0.13675,-0.50000,0.50000,0.50000,0.50000,1.64927
-0.44200,-0.12146,0.13675,-0.50000,0.50000,0.50000,0.50000,1.68444
-0.44200,-0.12175,0.13675,-0.50000,0.50000,0.50000,0.50000,1.71964
-0.44200,-0.12202,0.13675,-0.50000,0.50000,0.50000,0.50000,1.75485
-0.44200,-0.12228,0.13675,-0.50000,0.50000,0.50000,0.50000,1.79007
-0.44200,-0.12252,0.13675,-0.50000,0.50000,0.50000,0.50000,1.82531
-0.44200,-0.12275,0.13675,-0.50000,0.50000,0.50000,0.50000,1.86055
-0.44200,-0.12295,0.13675,-0.50000,0.50000,0.50000,0.50000,1.89580
-0.44200,-0.12314,0.13675,-0.50000,0.50000,0.50000,0.50000,1.93105
-0.44200,-0.12330,0.13675,-0.50000,0.50000,0.50000,0.50000,1.96630
-0.44200,-0.12344,0.13675,-0.50000,0.50000,0.50000,0.50000,2.00154
-0.44200,-0.12355,0.13675,-0.50000,0.50000,0.50000,0.50000,2.03678
-0.44200,-0.12365,0.13675,-0.50000,0.50000,0.50000,0.50000,2.07200
-0.44200,-0.12371,0.13675,-0.50000,0.50000,0.50000,0.50000,2.10722
-0.44200,-0.12376,0.13675,-0.50000,0.50000,0.50000,0.50000,2.14241
-0.44200,-0.12377,0.13675,-0.50000,0.50000,0.50000,0.50000,2.17758
-0.44200,-0.12376,0.13675,-0.50000,0.50000,0.50000,0.50000,2.21273
-0.44200,-0.12372,0.13675,-0.50000,0.50000,0.50000,0.50000,2.24786
-0.44200,-0.12366,0.13675,-0.50000,0.50000,0.50000,0.50000,2.28295
-0.44200,-0.12357,0.13675,-0.50000,0.50000,0.50000,0.50000,2.31801
-0.44200,-0.12345,0.13675,-0.50000,0.50000,0.50000,0.50000,2.35303
-0.44200,-0.12331,0.13675,-0.50000,0.50000,0.50000,0.50000,2.38801
-0.44200,-0.12315,0.13675,-0.50000,0.50000,0.50000,0.50000,2.42294
-0.44200,-0.12296,0.13675,-0.50000,0.50000,0.50000,0.50000,2.45783
-0.44200,-0.12274,0.13675,-0.50000,0.50000,0.50000,0.50000,2.49267
-0.44200,-0.12251,0.13675,-0.50000,0.50000,0.50000,0.50000,2.52745
-0.44200,-0.12225,0.13675,-0.50000,0.50000,0.50000,0.50000,2.56217
-0.44200,-0.12197,0.13675,-0.50000,0.50000,0.50000,0.50000,2.59682
-0.44200,-0.12168,0.13675,-0.50000,0.50000,0.50000,0.50000,2.63142
-0.44200,-0.12136,0.13675,-0.50000,0.50000,0.50000,0.50000,2.66594
-0.44200,-0.12103,0.13675,-0.50000,0.50000,0.50000,0.50000,2.70038
-0.44200,-0.12069,0.13675,-0.50000,0.50000,0.50000,0.50000,2.73475
-0.44200,-0.12033,0.13675,-0.50000,0.50000,0.50000,0.50000,2.76904
-0.44200,-0.11997,0.13675,-0.50000,0.50000,0.50000,0.50000,2.80324
-0.44200,-0.11959,0.13675,-0.50000,0.50000,0.50000,0.50000,2.83735
-0.44200,-0.11921,0.13675,-0.50000,0.50000,0.50000,0.50000,2.87137
-0.44200,-0.11882,0.13675,-0.50000,0.50000,0.50000,0.50000,2.90529
-0.44200,-0.11842,0.13675,-0.50000,0.50000,0.50000,0.50000,2.93911
-0.44200,-0.11803,0.13675,-0.50000,0.50000,0.50000,0.50000,2.97283
-0.44200,-0.11764,0.13675,-0.50000,0.50000,0.50000,0.50000,3.00643
-0.44200,-0.11724,0.13675,-0.50000,0.50000,0.50000,0.50000,3.03992
-0.44200,-0.11686,0.13675,-0.50000,0.50000,0.50000,0.50000,3.07329
-0.44200,-0.11647,0.13675,-0.50000,0.50000,0.50000,0.50000,3.10654
-0.44200,-0.11610,0.13675,-0.50000,0.50000,0.50000,0.50000,3.13966
-0.44200,-0.11574,0.13675,-0.50000,0.50000,0.50000,0.50000,3.17265
-0.44200,-0.11538,0.13675,-0.50000,0.50000,0.50000,0.50000,3.20551
-0.44200,-0.11504,0.13675,-0.50000,0.50000,0.50000,0.50000,3.23823
-0.44200,-0.11472,0.13675,-0.50000,0.50000,0.50000,0.50000,3.27080
-0.44200,-0.11441,0.13675,-0.50000,0.50000,0.50000,0.50000,3.30322
-0.44200,-0.11412,0.13675,-0.50000,0.50000,0.50000,0.50000,3.33550
-0.44200,-0.11385,0.13675,-0.50000,0.50000,0.50000,0.50000,3.36761
-0.44200,-0.11360,0.13675,-0.50000,0.50000,0.50000,0.50000,3.39957
-0.44200,-0.11337,0.13675,-0.50000,0.50000,0.50000,0.50000,3.43136
