x,y,z,qx,qy,qz,qw,u
0.09031,0.31059,0.08011,0.41517,0.42671,-0.54594,0.58950,0.00000
0.09031,0.31058,0.08012,0.41517,0.42671,-0.54594,0.58949,0.00800
0.09031,0.31057,0.08012,0.41518,0.42672,-0.54593,0.58948,0.02000
0.09031,0.31055,0.08013,0.41519,0.42674,-0.54592,0.58948,0.03600
0.09031,0.31053,0.08013,0.41520,0.42675,-0.54591,0.58947,0.05600
0.09031,0.31051,0.08014,0.41522,0.42677,-0.54590,0.58945,0.08000
0.09031,0.31048,0.08015,0.41524,0.42679,-0.54588,0.58944,0.10800
0.09032,0.31045,0.08016,0.41527,0.42682,-0.54586,0.58941,0.14000
0.09032,0.31042,0.08017,0.41529,0.42684,-0.54585,0.58940,0.17600
0.09032,0.31038,0.08018,0.41532,0.42687,-0.54582,0.58938,0.21600
0.09032,0.31034,0.08019,0.41535,0.42691,-0.54580,0.58935,0.26000
0.09032,0.31029,0.08020,0.41539,0.42694,-0.54577,0.58932,0.30800
0.09033,0.31024,0.08021,0.41543,0.42699,-0.54574,0.58929,0.36000
0.09033,0.31019,0.08023,0.41546,0.42703,-0.54572,0.58926,0.41600
0.09033,0.31013,0.08025,0.41551,0.42708,-0.54568,0.58923,0.47600
0.09034,0.31007,0.08027,0.41555,0.42712,-0.54565,0.58920,0.54000
0.09034,0.31001,0.08029,0.41560,0.42717,-0.54561,0.58916,0.60800
0.09034,0.30994,0.08031,0.41565,0.42723,-0.54557,0.58912,0.68000
0.09035,0.30987,0.08033,0.41570,0.42728,-0.54553,0.58908,0.75600
0.09035,0.30979,0.08036,0.41576,0.42735,-0.54549,0.58903,0.83600
0.09035,0.30971,0.08038,0.41582,0.42742,-0.54544,0.58898,0.92000
0.09036,0.30962,0.08041,0.41588,0.42748,-0.54540,0.58894,1.00800
0.09036,0.30954,0.08043,0.41595,0.42755,-0.54534,0.58888,1.10000
0.09037,0.30945,0.08046,0.41602,0.42762,-0.54529,0.58883,1.19600
0.09037,0.30935,0.08049,0.41609,0.42771,-0.54524,0.58877,1.29600
0.09038,0.30925,0.08051,0.41616,0.42778,-0.54518,0.58872,1.39600
0.09038,0.30916,0.08054,0.41623,0.42786,-0.54513,0.58866,1.49600
0.09039,0.30906,0.08057,0.41630,0.42793,-0.54508,0.58861,1.59600
0.09039,0.30897,0.08060,0.41637,0.42801,-0.54502,0.58855,1.69600
0.09040,0.30886,0.08063,0.41645,0.42809,-0.54497,0.58849,1.79600
0.09040,0.30877,0.08066,0.41652,0.42817,-0.54491,0.58844,1.89600
0.09041,0.30867,0.08069,0.41659,0.42824,-0.54486,0.58838,1.99600
0.09041,0.30858,0.08072,0.41666,0.42832,-0.54480,0.58833,2.09600
0.09042,0.30848,0.08075,0.41673,0.42840,-0.54475,0.58827,2.19600
0.09042,0.30838,0.08078,0.41680,0.42847,-0.54469,0.58821,2.29600
0.09043,0.30829,0.08080,0.41687,0.42855,-0.54464,0.58816,2.39600
0.09043,0.30819,0.08083,0.41695,0.42863,-0.54458,0.58810,2.49600
0.09044,0.30810,0.08086,0.41701,0.42870,-0.54453,0.58805,2.59600
0.09044,0.30800,0.08089,0.41709,0.42878,-0.54448,0.58799,2.69600
0.09045,0.30791,0.08092,0.41716,0.42886,-0.54442,0.58793,2.79600
0.09045,0.30781,0.08095,0.41722,0.42893,-0.54437,0.58788,2.89600
0.09046,0.30772,0.08097,0.41730,0.42901,-0.54431,0.58782,2.99600
0.09046,0.30762,0.08100,0.41737,0.42908,-0.54426,0.58777,3.09600
0.09047,0.30752,0.08103,0.41744,0.42917,-0.54420,0.58771,3.19600
0.09047,0.30743,0.08106,0.41751,0.42924,-0.54415,0.58766,3.29600
0.09048,0.30733,0.08108,0.41759,0.42932,-0.54409,0.58760,3.39600
0.09048,0.30724,0.08111,0.41765,0.42939,-0.54404,0.58754,3.49600
0.09049,0.30714,0.08114,0.41772,0.42947,-0.54399,0.58749,3.59600
0.09049,0.30705,0.08117,0.41780,0.42955,-0.54393,0.58743,3.69600
0.09050,0.30695,0.08120,0.41787,0.42962,-0.54388,0.58738,3.79600
0.09050,0.30685,0.08123,0.41794,0.42970,-0.54382,0.58732,3.89600
0.09051,0.30676,0.08126,0.41801,0.42978,-0.54377,0.58726,3.99600
0.09051,0.30666,0.08129,0.41808,0.42985,-0.54371,0.58720,4.09600
0.09052,0.30657,0.08131,0.41815,0.42993,-0.54366,0.58715,4.19600
0.09052,0.30647,0.08134,0.41822,0.43000,-0.54361,0.58710,4.29600
0.09053,0.30638,0.08137,0.41830,0.43009,-0.54355,0.58704,4.39600
0.09053,0.30628,0.08139,0.41836,0.43016,-0.54350,0.58698,4.49600
0.09054,0.30619,0.08142,0.41844,0.43024,-0.54344,0.58692,4.59600
0.09054,0.30609,0.08145,0.41850,0.43031,-0.54339,0.58687,4.69600
0.09055,0.30599,0.08148,0.41858,0.43039,-0.54333,0.58681,4.79600
0.09055,0.30590,0.08151,0.41865,0.43047,-0.54328,0.58676,4.89600
0.09056,0.30580,0.08154,0.41872,0.43054,-0.54322,0.58670,4.99600
0.09056,0.30571,0.08156,0.41879,0.43062,-0.54317,0.58664,5.09600
0.09057,0.30561,0.08159,0.41886,0.43070,-0.54311,0.58659,5.19600
0.09057,0.30551,0.08162,0.41893,0.43077,-0.54306,0.58654,5.29600
0.09058,0.30542,0.08165,0.41900,0.43085,-0.54300,0.58647,5.39600
0.09058,0.30532,0.08167,0.41907,0.43092,-0.54295,0.58642,5.49600
0.09059,0.30523,0.08170,0.41915,0.43100,-0.54289,0.58636,5.59600
0.09059,0.30513,0.08173,0.41921,0.43108,-0.54284,0.58631,5.69600
0.09060,0.30504,0.08176,0.41928,0.43115,-0.54279,0.58625,5.79600
0.09060,0.30494,0.08178,0.41936,0.43123,-0.54273,0.58620,5.89600
0.09061,0.30484,0.08181,0.41943,0.43131,-0.54268,0.58614,5.99600
0.09061,0.30475,0.08184,0.41950,0.43139,-0.54262,0.58608,6.09600
0.09062,0.30465,0.08187,0.41957,0.43146,-0.54257,0.58603,6.19600
0.09062,0.30456,0.08190,0.41964,0.43154,-0.54251,0.58597,6.29600
0.09063,0.30446,0.08193,0.41971,0.43161,-0.54246,0.58591,6.39600
0.09063,0.30436,0.08196,0.41978,0.43169,-0.54240,0.58586,6.49600
0.09064,0.30427,0.08197,0.41985,0.43177,-0.54234,0.58580,6.59600
0.09064,0.30417,0.08200,0.41992,0.43185,-0.54229,0.58574,6.69600
0.09065,0.30408,0.08203,0.41999,0.43192,-0.54224,0.58569,6.79600
0.09065,0.30398,0.08206,0.42007,0.43200,-0.54218,0.58563,6.89600
0.09066,0.30389,0.08209,0.42013,0.43207,-0.54213,0.58558,6.99600
0.09066,0.30379,0.08212,0.42021,0.43215,-0.54207,0.58552,7.09600
0.09067,0.30369,0.08214,0.42028,0.43222,-0.54202,0.58546,7.19600
