x,y,z,px,py,pz,pw,u
-0.47100,-0.14217,0.07580,0.41812,-0.41812,-0.57024,-0.57024,0.00000
-0.47100,-0.14177,0.07581,0.41813,-0.41813,-0.57024,-0.57024,0.00800
-0.47100,-0.14137,0.07581,0.41814,-0.41814,-0.57023,-0.57023,0.02000
-0.47100,-0.14098,0.07582,0.41815,-0.41815,-0.57022,-0.57022,0.03600
-0.47100,-0.14059,0.07582,0.41816,-0.41816,-0.57021,-0.57021,0.05600
-0.47100,-0.14021,0.07583,0.41818,-0.41818,-0.57020,-0.57020,0.08000
-0.47100,-0.13984,0.07584,0.41820,-0.41820,-0.57018,-0.57018,0.10800
-0.47100,-0.13949,0.07585,0.41823,-0.41823,-0.57016,-0.57016,0.14000
-0.47100,-0.13914,0.07586,0.41825,-0.41825,-0.57014,-0.57014,0.17600
-0.47100,-0.13882,0.07587,0.41828,-0.41828,-0.57012,-0.57012,0.21600
-0.47100,-0.13851,0.07588,0.41832,-0.41832,-0.57010,-0.57010,0.26000
-0.47100,-0.13821,0.07590,0.41835,-0.41835,-0.57007,-0.57007,0.30800
-0.47100,-0.13794,0.07591,0.41839,-0.41839,-0.57004,-0.57004,0.36000
-0.47100,-0.13769,0.07593,0.41843,-0.41843,-0.57001,-0.57001,0.41600
-0.47100,-0.13746,0.07595,0.41848,-0.41848,-0.56998,-0.56998,0.47600
-0.47100,-0.13725,0.07597,0.41852,-0.41852,-0.56995,-0.56995,0.54000
-0.47100,-0.13707,0.07599,0.41857,-0.41857,-0.56991,-0.56991,0.60800
-0.47100,-0.13691,0.07601,0.41863,-0.41863,-0.56987,-0.56987,0.68000
-0.47100,-0.13677,0.07603,0.41868,-0.41868,-0.56983,-0.56983,0.75600
-0.47100,-0.13666,0.07606,0.41874,-0.41874,-0.56978,-0.56978,0.83600
-0.47100,-0.13657,0.07608,0.41881,-0.41881,-0.56974,-0.56974,0.92000
-0.47100,-0.13651,0.07611,0.41887,-0.41887,-0.56969,-0.56969,1.00800
-0.47100,-0.13648,0.07613,0.41894,-0.41894,-0.56964,-0.56964,1.10000
-0.47100,-0.13647,0.07616,0.41901,-0.41901,-0.56959,-0.56959,1.19600
-0.47100,-0.13648,0.07619,0.41909,-0.41909,-0.56953,-0.56953,1.29600
-0.47100,-0.13652,0.07622,0.41916,-0.41916,-0.56948,-0.56948,1.39600
-0.47100,-0.13658,0.07625,0.41923,-0.41923,-0.56942,-0.56942,1.49600
-0.47100,-0.13666,0.07628,0.41931,-0.41931,-0.56937,-0.56937,1.59600
-0.47100,-0.13676,0.07631,0.41938,-0.41938,-0.56931,-0.56931,1.69600
-0.47100,-0.13688,0.07634,0.41946,-0.41946,-0.56926,-0.56926,1.79600
-0.47100,-0.13702,0.07637,0.41953,-0.41953,-0.56920,-0.56920,1.89600
-0.47100,-0.13718,0.07640,0.41961,-0.41961,-0.56915,-0.56915,1.99600
-0.47100,-0.13736,0.07643,0.41968,-0.41968,-0.56909,-0.56909,2.09600
-0.47100,-0.13755,0.07646,0.41976,-0.41976,-0.56904,-0.56904,2.19600
-0.47100,-0.13775,0.07649,0.41983,-0.41983,-0.56898,-0.56898,2.29600
-0.47100,-0.13797,0.07652,0.41990,-0.41990,-0.56893,-0.56893,2.39600
-0.47100,-0.13819,0.07655,0.41998,-0.41998,-0.56887,-0.56887,2.49600
-0.47100,-0.13842,0.07658,0.42005,-0.42005,-0.56882,-0.56882,2.59600
-0.47100,-0.13866,0.07661,0.42013,-0.42013,-0.56877,-0.56877,2.69600
-0.47100,-0.13891,0.07664,0.42020,-0.42020,-0.56871,-0.56871,2.79600
-0.47100,-0.13916,0.07667,0.42027,-0.42027,-0.56866,-0.56866,2.89600
-0.47100,-0.13940,0.07669,0.42035,-0.42035,-0.56860,-0.56860,2.99600
-0.47100,-0.13965,0.07672,0.42042,-0.42042,-0.56855,-0.56855,3.09600
-0.47100,-0.13990,0.07675,0.42050,-0.42050,-0.56849,-0.56849,3.19600
-0.47100,-0.14014,0.07678,0.42057,-0.42057,-0.56844,-0.56844,3.29600
-0.47100,-0.14037,0.07681,0.42065,-0.42065,-0.56838,-0.56838,3.39600
-0.47100,-0.14060,0.07684,0.42072,-0.42072,-0.56833,-0.56833,3.49600
-0.47100,-0.14081,0.07687,0.42079,-0.42079,-0.56827,-0.56827,3.59600
-0.47100,-0.14102,0.07690,0.42087,-0.42087,-0.56822,-0.56822,3.69600
-0.47100,-0.14121,0.07693,0.42094,-0.42094,-0.56816,-0.56816,3.79600
-0.47100,-0.14139,0.07696,0.42102,-0.42102,-0.56811,-0.56811,3.89600
-0.47100,-0.14155,0.07699,0.42109,-0.42109,-0.56805,-0.56805,3.99600
-0.47100,-0.14170,0.07702,0.42117,-0.42117,-0.56800,-0.56800,4.09600
-0.47100,-0.14182,0.07704,0.42124,-0.42124,-0.56794,-0.56794,4.19600
-0.47100,-0.14193,0.07707,0.42131,-0.42131,-0.56789,-0.56789,4.29600
-0.47100,-0.14201,0.07710,0.42139,-0.42139,-0.56783,-0.56783,4.39600
-0.47100,-0.14208,0.07713,0.42146,-0.42146,-0.56778,-0.56778,4.49600
-0.47100,-0.14212,0.07716,0.42154,-0.42154,-0.56772,-0.56772,4.59600
-0.47100,-0.14214,0.07719,0.42161,-0.42161,-0.56767,-0.56767,4.69600
-0.47100,-0.14213,0.07722,0.42168,-0.42168,-0.56761,-0.56761,4.79600
-0.47100,-0.14210,0.07725,0.42176,-0.42176,-0.56756,-0.56756,4.89600
-0.47100,-0.14204,0.07728,0.42183,-0.42183,-0.56750,-0.56750,4.99600
-0.47100,-0.14196,0.07730,0.42191,-0.42191,-0.56745,-0.56745,5.09600
-0.47100,-0.14186,0.07733,0.42198,-0.42198,-0.56739,-0.56739,5.19600
-0.47100,-0.14173,0.07736,0.42205,-0.42205,-0.56734,-0.56734,5.29600
-0.47100,-0.14158,0.07739,0.42213,-0.42213,-0.56728,-0.56728,5.39600
-0.47100,-0.14140,0.07742,0.42220,-0.42220,-0.56723,-0.56723,5.49600
-0.47100,-0.14119,0.07745,0.42228,-0.42228,-0.56717,-0.56717,5.59600
-0.47100,-0.14097,0.07748,0.42235,-0.42235,-0.56712,-0.56712,5.69600
-0.47100,-0.14072,0.07751,0.42242,-0.42242,-0.56706,-0.56706,5.79600
-0.47100,-0.14045,0.07753,0.42250,-0.42250,-0.56701,-0.56701,5.89600
-0.47100,-0.14016,0.07756,0.42257,-0.42257,-0.56695,-0.56695,5.99600
-0.47100,-0.13985,0.07759,0.42265,-0.42265,-0.56689,-0.56689,6.09600
-0.47100,-0.13952,0.07762,0.42272,-0.42272,-0.56684,-0.56684,6.19600
-0.47100,-0.13917,0.07765,0.42279,-0.42279,-0.56678,-0.56678,6.29600
-0.47100,-0.13881,0.07768,0.42287,-0.42287,-0.56673,-0.56673,6.39600
-0.47100,-0.13843,0.07771,0.42294,-0.42294,-0.56667,-0.56667,6.49600
-0.47100,-0.13804,0.07773,0.42302,-0.42302,-0.56662,-0.56662,6.59600
-0.47100,-0.13763,0.07776,0.42309,-0.42309,-0.56656,-0.56656,6.69600
-0.47100,-0.13722,0.07779,0.42316,-0.42316,-0.56651,-0.56651,6.79600
-0.47100,-0.13680,0.07782,0.42324,-0.42324,-0.56645,-0.56645,6.89600
-0.47100,-0.13637,0.07785,0.42331,-0.42331,-0.56640,-0.56640,6.99600
-0.47100,-0.13594,0.07788,0.42339,-0.42339,-0.56634,-0.56634,7.09600
-0.47100,-0.13551,0.07790,0.42346,-0.42346,-0.56629,-0.56629,7.19600
-0.47100,-0.13507,0.07793,0.42353,-0.42353,-0.56623,-0.56623,7.29600
-0.47100,-0.13464,0.07796,0.42361,-0.42361,-0.56618,-0.56618,7.39600
-0.47100,-0.13420,0.07799,0.42368,-0.42368,-0.56612,-0.56612,7.49600
-0.47100,-0.13378,0.07802,0.42376,-0.42376,-0.56607,-0.56607,7.59600
-0.47100,-0.13335,0.07805,0.42383,-0.42383,-0.56601,-0.56601,7.69600
-0.47100,-0.13294,0.07807,0.42390,-0.42390,-0.56596,-0.56596,7.79600
-0.47100,-0.13253,0.07810,0.42398,-0.42398,-0.56590,-0.56590,7.89600
-0.47100,-0.13214,0.07813,0.42405,-0.42405,-0.56584,-0.56584,7.99600
-0.47100,-0.13176,0.07816,0.42413,-0.42413,-0.56579,-0.56579,8.09600
-0.47100,-0.13139,0.07819,0.42420,-0.42420,-0.56573,-0.56573,8.19600
-0.47100,-0.13104,0.07821,0.42427,-0.42427,-0.56568,-0.56568,8.29600
-0.47100,-0.13071,0.07824,0.42435,-0.42435,-0.56562,-0.56562,8.39600
-0.47100,-0.13039,0.07827,0.42442,-0.42442,-0.56557,-0.56557,8.49600
-0.47100,-0.13010,0.07830,0.42449,-0.42449,-0.56551,-0.56551,8.59600
-0.47100,-0.12982,0.07833,0.42457,-0.42457,-0.56546,-0.56546,8.69600
-0.47100,-0.12957,0.07835,0.42464,-0.42464,-0.56540,-0.56540,8.79600
-0.47100,-0.12934,0.07838,0.42472,-0.42472,-0.56535,-0.56535,8.89600
-0.47100,-0.12913,0.07841,0.42479,-0.42479,-0.56529,-0.56529,8.99600
-0.47100,-0.12894,0.07844,0.42486,-0.42486,-0.56524,-0.56524,9.09600
-0.47100,-0.12878,0.07846,0.42494,-0.42494,-0.56518,-0.56518,9.19600
-0.47100,-0.12864,0.07849,0.42501,-0.42501,-0.56512,-0.56512,9.29600
-0.47100,-0.12853,0.07852,0.42509,-0.42509,-0.56507,-0.56507,9.39600
-0.47100,-0.12845,0.07855,0.42516,-0.42516,-0.56501,-0.56501,9.49600
-0.47100,-0.12838,0.07858,0.42523,-0.42523,-0.56496,-0.56496,9.59600
-0.47100,-0.12834,0.07860,0.42531,-0.42531,-0.56490,-0.56490,9.69600
-0.47100,-0.12833,0.07863,0.42538,-0.42538,-0.56485,-0.56485,9.79600
-0.47100,-0.12834,0.07866,0.42545,-0.42545,-0.56479,-0.56479,9.89600
-0.47100,-0.12837,0.07869,0.42553,-0.42553,-0.56474,-0.56474,9.99600
-0.47100,-0.12843,0.07871,0.42560,-0.42560,-0.56468,-0.56468,10.09600
-0.47100,-0.12850,0.07874,0.42568,-0.42568,-0.56462,-0.56462,10.19600
-0.47100,-0.12860,0.07877,0.42575,-0.42575,-0.56457,-0.56457,10.29600
-0.47100,-0.12872,0.07880,0.42582,-0.42582,-0.56451,-0.56451,10.39600
-0.47100,-0.12885,0.07882,0.42590,-0.42590,-0.56446,-0.56446,10.49600
-0.47100,-0.12900,0.07885,0.42597,-0.42597,-0.56440,-0.56440,10.59600
-0.47100,-0.12917,0.07888,0.42604,-0.42604,-0.56435,-0.56435,10.69600
-0.47100,-0.12935,0.07891,0.42612,-0.42612,-0.56429,-0.56429,10.79600
-0.47100,-0.12955,0.07893,0.42619,-0.42619,-0.56424,-0.56424,10.89600
-0.47100,-0.12976,0.07896,0.42626,-0.42626,-0.56418,-0.56418,10.99600
-0.47100,-0.12997,0.07899,0.42634,-0.42634,-0.56412,-0.56412,11.09600
-0.47100,-0.13020,0.07901,0.42641,-0.42641,-0.56407,-0.56407,11.19600
-0.47100,-0.13043,0.07904,0.42649,-0.42649,-0.56401,-0.56401,11.29600
-0.47100,-0.13066,0.07907,0.42656,-0.42656,-0.56396,-0.56396,11.39600
-0.47100,-0.13090,0.07910,0.42663,-0.42663,-0.56390,-0.56390,11.49600
-0.47100,-0.13114,0.07912,0.42671,-0.42671,-0.56385,-0.56385,11.59600
-0.47100,-0.13138,0.07915,0.42678,-0.42678,-0.56379,-0.56379,11.69600
-0.47100,-0.13162,0.07918,0.42685,-0.42685,-0.56373,-0.56373,11.79600
-0.47100,-0.13185,0.07921,0.42693,-0.42693,-0.56368,-0.56368,11.89600
-0.47100,-0.13208,0.07923,0.42700,-0.42700,-0.56362,-0.56362,11.99600
-0.47100,-0.13229,0.07926,0.42707,-0.42707,-0.56357,-0.56357,12.09600
-0.47100,-0.13250,0.07929,0.42715,-0.42715,-0.56351,-0.56351,12.19600
-0.47100,-0.13270,0.07931,0.42722,-0.42722,-0.56346,-0.56346,12.29600
-0.47100,-0.13289,0.07934,0.42729,-0.42729,-0.56340,-0.56340,12.39600
-0.47100,-0.13306,0.07937,0.42737,-0.42737,-0.56334,-0.56334,12.49600
-0.47100,-0.13321,0.07939,0.42744,-0.42744,-0.56329,-0.56329,12.59600
-0.47100,-0.13335,0.07942,0.42752,-0.42752,-0.56323,-0.56323,12.69600
-0.47100,-0.13347,0.07945,0.42759,-0.42759,-0.56318,-0.56318,12.79600
-0.47100,-0.13358,0.07947,0.42766,-0.42766,-0.56312,-0.56312,12.89600
-0.47100,-0.13366,0.07950,0.42774,-0.42774,-0.56306,-0.56306,12.99600
-0.47100,-0.13372,0.07953,0.42781,-0.42781,-0.56301,-0.56301,13.09600
-0.47100,-0.13376,0.07956,0.42788,-0.42788,-0.56295,-0.56295,13.19600
-0.47100,-0.13377,0.07958,0.42796,-0.42796,-0.56290,-0.56290,13.29600
-0.47100,-0.13376,0.07961,0.42803,-0.42803,-0.56284,-0.56284,13.39600
-0.47100,-0.13373,0.07964,0.42810,-0.42810,-0.56279,-0.56279,13.49600
-0.47100,-0.13368,0.07966,0.42818,-0.42818,-0.56273,-0.56273,13.59600
-0.47100,-0.13360,0.07969,0.42825,-0.42825,-0.56267,-0.56267,13.69600
-0.47100,-0.13349,0.07972,0.42832,-0.42832,-0.56262,-0.56262,13.79600
-0.47100,-0.13336,0.07974,0.42840,-0.42840,-0.56256,-0.56256,13.89600
-0.47100,-0.13321,0.07977,0.42847,-0.42847,-0.56251,-0.56251,13.99600
-0.47100,-0.13303,0.07980,0.42854,-0.42854,-0.56245,-0.56245,14.09600
-0.47100,-0.13283,0.07982,0.42862,-0.42862,-0.56239,-0.56239,14.19600
-0.47100,-0.13261,0.07985,0.42869,-0.42869,-0.56234,-0.56234,14.29600
-0.47100,-0.13236,0.07987,0.42876,-0.42876,-0.56228,-0.56228,14.39600
-0.47100,-0.13210,0.07990,0.42884,-0.42884,-0.56223,-0.56223,14.49600
-0.47100,-0.13181,0.07993,0.42891,-0.42891,-0.56217,-0.56217,14.59600
-0.47100,-0.13150,0.07995,0.42898,-0.42898,-0.56211,-0.56211,14.69600
-0.47100,-0.13118,0.07998,0.42906,-0.42906,-0.56206,-0.56206,14.79600
-0.47100,-0.13084,0.08001,0.42913,-0.42913,-0.56200,-0.56200,14.89600
-0.47100,-0.13048,0.08003,0.42920,-0.42920,-0.56195,-0.56195,14.99600
-0.47100,-0.13011,0.08006,0.42928,-0.42928,-0.56189,-0.56189,15.09600
-0.47100,-0.12972,0.08009,0.42935,-0.42935,-0.56183,-0.56183,15.19600
-0.47100,-0.12933,0.08011,0.42942,-0.42942,-0.56178,-0.56178,15.29600
-0.47100,-0.12892,0.08014,0.42950,-0.42950,-0.56172,-0.56172,15.39600
-0.47100,-0.12851,0.08016,0.42957,-0.42957,-0.56167,-0.56167,15.49600
-0.47100,-0.12809,0.08019,0.42964,-0.42964,-0.56161,-0.56161,15.59600
-0.47100,-0.12767,0.08022,0.42972,-0.42972,-0.56155,-0.56155,15.69600
