x,y,z,qx,qy,qz,qw,u
0.05332,0.29582,0.14123,0.50184,0.50156,-0.48646,0.50985,0.00400
0.05332,0.29581,0.14123,0.50184,0.50156,-0.48646,0.50985,0.01200
0.05332,0.29580,0.14123,0.50184,0.50156,-0.48646,0.50985,0.02400
0.05332,0.29578,0.14123,0.50184,0.50156,-0.48646,0.50985,0.04000
0.05332,0.29576,0.14123,0.50184,0.50156,-0.48646,0.50985,0.06000
0.05332,0.29574,0.14123,0.50184,0.50156,-0.48646,0.50985,0.08400
0.05332,0.29571,0.14123,0.50184,0.50156,-0.48646,0.50985,0.11200
0.05332,0.29568,0.14123,0.50184,0.50156,-0.48646,0.50985,0.14400
0.05332,0.29564,0.14123,0.50184,0.50156,-0.48646,0.50985,0.18000
0.05332,0.29560,0.14123,0.50184,0.50156,-0.48646,0.50985,0.22000
0.05332,0.29556,0.14123,0.50184,0.50156,-0.48646,0.50985,0.26400
0.05332,0.29551,0.14123,0.50184,0.50156,-0.48646,0.50985,0.31200
0.05333,0.29546,0.14123,0.50184,0.50156,-0.48646,0.50985,0.36400
0.05333,0.29540,0.14123,0.50184,0.50156,-0.48646,0.50985,0.42000
0.05333,0.29534,0.14123,0.50184,0.50156,-0.48646,0.50985,0.48000
0.05333,0.29528,0.14123,0.50184,0.50156,-0.48646,0.50985,0.54400
0.05333,0.29521,0.14123,0.50184,0.50156,-0.48646,0.50985,0.61200
0.05333,0.29514,0.14123,0.50184,0.50156,-0.48646,0.50985,0.68400
0.05333,0.29506,0.14123,0.50184,0.50156,-0.48646,0.50985,0.76000
0.05334,0.29498,0.14124,0.50184,0.50156,-0.48646,0.50985,0.84000
0.05334,0.29490,0.14124,0.50184,0.50156,-0.48646,0.50985,0.92400
0.05334,0.29481,0.14124,0.50184,0.50156,-0.48646,0.50985,1.01200
0.05334,0.29472,0.14124,0.50184,0.50156,-0.48646,0.50985,1.10400
0.05334,0.29462,0.14124,0.50184,0.50156,-0.48646,0.50985,1.20000
0.05335,0.29452,0.14124,0.50184,0.50156,-0.48646,0.50985,1.30000
0.05335,0.29442,0.14123,0.50184,0.50156,-0.48646,0.50985,1.40000
0.05335,0.29432,0.14123,0.50184,0.50156,-0.48646,0.50985,1.50000
0.05335,0.29422,0.14123,0.50184,0.50156,-0.48646,0.50985,1.60000
0.05336,0.29412,0.14123,0.50184,0.50156,-0.48646,0.50985,1.70000
0.05336,0.29402,0.14123,0.50184,0.50156,-0.48646,0.50985,1.80000
0.05336,0.29392,0.14123,0.50184,0.50156,-0.48646,0.50985,1.90000
0.05336,0.29382,0.14123,0.50184,0.50156,-0.48646,0.50985,2.00000
0.05337,0.29372,0.14123,0.50184,0.50156,-0.48646,0.50985,2.10000
0.05337,0.29362,0.14123,0.50184,0.50156,-0.48646,0.50985,2.20000
0.05337,0.29352,0.14123,0.50184,0.50156,-0.48646,0.50985,2.30000
0.05337,0.29342,0.14123,0.50184,0.50156,-0.48646,0.50985,2.40000
0.05337,0.29332,0.14124,0.50184,0.50156,-0.48646,0.50985,2.50000
0.05338,0.29322,0.14124,0.50184,0.50156,-0.48646,0.50985,2.60000
0.05338,0.29312,0.14124,0.50184,0.50156,-0.48646,0.50985,2.70000
