x,y,z,px,py,pz,pw,u
-0.44200,-0.26500,0.13600,-0.50000,0.50000,0.50000,0.50000,0.00400
-0.44200,-0.26499,0.13600,-0.50000,0.50000,0.50000,0.50000,0.01200
-0.44200,-0.26498,0.13600,-0.50000,0.50000,0.50000,0.50000,0.02400
-0.44200,-0.26496,0.13600,-0.50000,0.50000,0.50000,0.50000,0.04000
-0.44200,-0.26494,0.13600,-0.50000,0.50000,0.50000,0.50000,0.06000
-0.44200,-0.26492,0.13600,-0.50000,0.50000,0.50000,0.50000,0.08400
-0.44200,-0.26489,0.13600,-0.50000,0.50000,0.50000,0.50000,0.11200
-0.44200,-0.26486,0.13600,-0.50000,0.50000,0.50000,0.50000,0.14400
-0.44200,-0.26482,0.13600,-0.50000,0.50000,0.50000,0.50000,0.18000
-0.44200,-0.26478,0.13600,-0.50000,0.50000,0.50000,0.50000,0.22000
-0.44200,-0.26474,0.13600,-0.50000,0.50000,0.50000,0.50000,0.26400
-0.44200,-0.26469,0.13600,-0.50000,0.50000,0.50000,0.50000,0.31200
-0.44200,-0.26464,0.13600,-0.50000,0.50000,0.50000,0.50000,0.36400
-0.44200,-0.26458,0.13600,-0.50000,0.50000,0.50000,0.50000,0.42000
-0.44200,-0.26452,0.13600,-0.50000,0.50000,0.50000,0.50000,0.48000
-0.44200,-0.26446,0.13600,-0.50000,0.50000,0.50000,0.50000,0.54400
-0.44200,-0.26439,0.13600,-0.50000,0.50000,0.50000,0.50000,0.61200
-0.44200,-0.26432,0.13600,-0.50000,0.50000,0.50000,0.50000,0.68400
-0.44200,-0.26424,0.13600,-0.50000,0.50000,0.50000,0.50000,0.76000
-0.44200,-0.26416,0.13601,-0.50000,0.50000,0.50000,0.50000,0.84000
-0.44200,-0.26408,0.13601,-0.50000,0.50000,0.50000,0.50000,0.92400
-0.44200,-0.26399,0.13601,-0.50000,0.50000,0.50000,0.50000,1.01200
-0.44200,-0.26390,0.13601,-0.50000,0.50000,0.50000,0.50000,1.10400
-0.44200,-0.26380,0.13601,-0.50000,0.50000,0.50000,0.50000,1.20000
-0.44200,-0.26370,0.13601,-0.50000,0.50000,0.50000,0.50000,1.30000
-0.44200,-0.26360,0.13601,-0.50000,0.50000,0.50000,0.50000,1.40000
-0.44200,-0.26350,0.13601,-0.50000,0.50000,0.50000,0.50000,1.50000
-0.44200,-0.26340,0.13601,-0.50000,0.50000,0.50000,0.50000,1.60000
-0.44200,-0.26330,0.13601,-0.50000,0.50000,0.50000,0.50000,1.70000
-0.44200,-0.26320,0.13601,-0.50000,0.50000,0.50000,0.50000,1.80000
-0.44200,-0.26310,0.13601,-0.50000,0.50000,0.50000,0.50000,1.90000
-0.44200,-0.26300,0.13601,-0.50000,0.50000,0.50000,0.50000,2.00000
-0.44200,-0.26290,0.13601,-0.50000,0.50000,0.50000,0.50000,2.10000
-0.44200,-0.26280,0.13601,-0.50000,0.50000,0.50000,0.50000,2.20000
-0.44200,-0.26270,0.13601,-0.50000,0.50000,0.50000,0.50000,2.30000
-0.44200,-0.26260,0.13601,-0.50000,0.50000,0.50000,0.50000,2.40000
-0.44200,-0.26250,0.13602,-0.50000,0.50000,0.50000,0.50000,2.50000
-0.44200,-0.26240,0.13602,-0.50000,0.50000,0.50000,0.50000,2.60000
-0.44200,-0.26230,0.13602,-0.50000,0.50000,0.50000,0.50000,2.70000
-0.44200,-0.26220,0.13602,-0.50000,0.50000,0.50000,0.50000,2.80000
-0.44200,-0.26210,0.13602,-0.50000,0.50000,0.50000,0.50000,2.90000
-0.44200,-0.26200,0.13602,-0.50000,0.50000,0.50000,0.50000,3.00000
-0.44200,-0.26190,0.13602,-0.50000,0.50000,0.50000,0.50000,3.10000
-0.44200,-0.26180,0.13602,-0.50000,0.50000,0.50000,0.50000,3.20000
-0.44200,-0.26170,0.13602,-0.50000,0.50000,0.50000,0.50000,3.30000
-0.44200,-0.26160,0.13602,-0.50000,0.50000,0.50000,0.50000,3.40000
-0.44200,-0.26150,0.13602,-0.50000,0.50000,0.50000,0.50000,3.50000
-0.44200,-0.26140,0.13602,-0.50000,0.50000,0.50000,0.50000,3.60000
-0.44200,-0.26130,0.13602,-0.50000,0.50000,0.50000,0.50000,3.70000
-0.44200,-0.26120,0.13602,-0.50000,0.50000,0.50000,0.50000,3.80000
-0.44200,-0.26110,0.13602,-0.50000,0.50000,0.50000,0.50000,3.90000
-0.44200,-0.26100,0.13602,-0.50000,0.50000,0.50000,0.50000,4.00000
-0.44200,-0.26090,0.13603,-0.50000,0.50000,0.50000,0.50000,4.10000
-0.44200,-0.26080,0.13603,-0.50000,0.50000,0.50000,0.50000,4.20000
-0.44200,-0.26070,0.13603,-0.50000,0.50000,0.50000,0.50000,4.30000
-0.44200,-0.26060,0.13603,-0.50000,0.50000,0.50000,0.50000,4.40000
-0.44200,-0.26050,0.13603,-0.50000,0.50000,0.50000,0.50000,4.50000
