x,y,z,px,py,pz,pw,u
-0.44200,-0.26500,0.13600,-0.50000,0.50000,0.50000,0.50000,0.00400
-0.44200,-0.26460,0.13600,-0.50000,0.50000,0.50000,0.50000,0.01200
-0.44200,-0.26420,0.13600,-0.50000,0.50000,0.50000,0.50000,0.02400
-0.44200,-0.26381,0.13600,-0.50000,0.50000,0.50000,0.50000,0.04000
-0.44200,-0.26342,0.13600,-0.50000,0.50000,0.50000,0.50000,0.06000
-0.44200,-0.26304,0.13600,-0.50000,0.50000,0.50000,0.50000,0.08400
-0.44200,-0.26267,0.13600,-0.50000,0.50000,0.50000,0.50000,0.11200
-0.44200,-0.26231,0.13600,-0.50000,0.50000,0.50000,0.50000,0.14400
-0.44200,-0.26197,0.13600,-0.50000,0.50000,0.50000,0.50000,0.18000
-0.44200,-0.26164,0.13600,-0.50000,0.50000,0.50000,0.50000,0.22000
-0.44200,-0.26133,0.13600,-0.50000,0.50000,0.50000,0.50000,0.26400
-0.44200,-0.26104,0.13600,-0.50000,0.50000,0.50000,0.50000,0.31200
-0.44200,-0.26076,0.13600,-0.50000,0.50000,0.50000,0.50000,0.36400
-0.44200,-0.26051,0.13600,-0.50000,0.50000,0.50000,0.50000,0.42000
-0.44200,-0.26028,0.13600,-0.50000,0.50000,0.50000,0.50000,0.48000
-0.44200,-0.26007,0.13600,-0.50000,0.50000,0.50000,0.50000,0.54400
-0.44200,-0.25988,0.13600,-0.50000,0.50000,0.50000,0.50000,0.61200
-0.44200,-0.25972,0.13600,-0.50000,0.50000,0.50000,0.50000,0.68400
-0.44200,-0.25958,0.13600,-0.50000,0.50000,0.50000,0.50000,0.76000
-0.44200,-0.25947,0.13601,-0.50000,0.50000,0.50000,0.50000,0.84000
-0.44200,-0.25938,0.13601,-0.50000,0.50000,0.50000,0.50000,0.92400
-0.44200,-0.25932,0.13601,-0.50000,0.50000,0.50000,0.50000,1.01200
-0.44200,-0.25928,0.13601,-0.50000,0.50000,0.50000,0.50000,1.10400
-0.44200,-0.25927,0.13601,-0.50000,0.50000,0.50000,0.50000,1.20000
-0.44200,-0.25928,0.13601,-0.50000,0.50000,0.50000,0.50000,1.30000
-0.44200,-0.25931,0.13601,-0.50000,0.50000,0.50000,0.50000,1.40000
-0.44200,-0.25937,0.13601,-0.50000,0.50000,0.50000,0.50000,1.50000
-0.44200,-0.25945,0.13601,-0.50000,0.50000,0.50000,0.50000,1.60000
-0.44200,-0.25955,0.13601,-0.50000,0.50000,0.50000,0.50000,1.70000
-0.44200,-0.25966,0.13601,-0.50000,0.50000,0.50000,0.50000,1.80000
-0.44200,-0.25980,0.13601,-0.50000,0.50000,0.50000,0.50000,1.90000
-0.44200,-0.25996,0.13601,-0.50000,0.50000,0.50000,0.50000,2.00000
-0.44200,-0.26013,0.13601,-0.50000,0.50000,0.50000,0.50000,2.10000
-0.44200,-0.26031,0.13601,-0.50000,0.50000,0.50000,0.50000,2.20000
-0.44200,-0.26051,0.13601,-0.50000,0.50000,0.50000,0.50000,2.30000
-0.44200,-0.26072,0.13601,-0.50000,0.50000,0.50000,0.50000,2.40000
-0.44200,-0.26094,0.13602,-0.50000,0.50000,0.50000,0.50000,2.50000
