x,y,z,qx,qy,qz,qw,u
0.10859,0.14576,0.14055,0.52130,0.49567,-0.48895,0.49344,0.00000
0.10859,0.14573,0.14055,0.52130,0.49567,-0.48895,0.49344,0.06301
0.10859,0.14570,0.14054,0.52130,0.49567,-0.48895,0.49344,0.09466
0.10859,0.14567,0.14054,0.52130,0.49567,-0.48895,0.49344,0.12643
0.10859,0.14563,0.14054,0.52130,0.49567,-0.48895,0.49344,0.15831
0.10859,0.14560,0.14054,0.52130,0.49567,-0.48895,0.49344,0.19031
0.10859,0.14557,0.14054,0.52130,0.49567,-0.48895,0.49344,0.22242
0.10859,0.14554,0.14054,0.52130,0.49567,-0.48895,0.49344,0.25464
0.10859,0.14550,0.14054,0.52130,0.49567,-0.48895,0.49344,0.28697
0.10859,0.14547,0.14054,0.52130,0.49567,-0.48895,0.49344,0.31940
0.10859,0.14544,0.14053,0.52130,0.49567,-0.48895,0.49344,0.35195
0.10859,0.14541,0.14053,0.52130,0.49567,-0.48895,0.49344,0.38459
0.10859,0.14537,0.14053,0.52130,0.49567,-0.48895,0.49344,0.41734
0.10858,0.14534,0.14053,0.52130,0.49567,-0.48895,0.49344,0.45020
0.10858,0.14531,0.14053,0.52130,0.49567,-0.48895,0.49344,0.48315
0.10858,0.14528,0.14053,0.52130,0.49567,-0.48895,0.49344,0.51620
0.10858,0.14524,0.14053,0.52130,0.49567,-0.48895,0.49344,0.54934
0.10858,0.14521,0.14053,0.52130,0.49567,-0.48895,0.49344,0.58259
0.10858,0.14518,0.14053,0.52130,0.49567,-0.48895,0.49344,0.61592
0.10858,0.14514,0.14052,0.52130,0.49567,-0.48895,0.49344,0.64935
0.10858,0.14511,0.14052,0.52130,0.49567,-0.48895,0.49344,0.68286
0.10858,0.14508,0.14052,0.52130,0.49567,-0.48895,0.49344,0.71647
0.10858,0.14504,0.14052,0.52130,0.49567,-0.48895,0.49344,0.75016
0.10858,0.14501,0.14052,0.52130,0.49567,-0.48895,0.49344,0.78393
0.10858,0.14497,0.14052,0.52130,0.49567,-0.48895,0.49344,0.81779
0.10858,0.14494,0.14052,0.52130,0.49567,-0.48895,0.49344,0.85172
0.10858,0.14491,0.14052,0.52130,0.49567,-0.48895,0.49344,0.88574
0.10857,0.14487,0.14052,0.52130,0.49567,-0.48895,0.49344,0.91983
0.10857,0.14484,0.14051,0.52130,0.49567,-0.48895,0.49344,0.95399
0.10857,0.14480,0.14051,0.52130,0.49567,-0.48895,0.49344,0.98822
0.10857,0.14477,0.14051,0.52130,0.49567,-0.48895,0.49344,1.02253
0.10857,0.14474,0.14051,0.52130,0.49567,-0.48895,0.49344,1.05690
0.10857,0.14470,0.14051,0.52130,0.49567,-0.48895,0.49344,1.09134
0.10857,0.14467,0.14051,0.52130,0.49567,-0.48895,0.49344,1.12584
0.10857,0.14463,0.14051,0.52130,0.49567,-0.48895,0.49344,1.16040
0.10857,0.14460,0.14051,0.52130,0.49567,-0.48895,0.49344,1.19502
0.10857,0.14456,0.14050,0.52130,0.49567,-0.48895,0.49344,1.22969
0.10857,0.14453,0.14050,0.52130,0.49567,-0.48895,0.49344,1.26442
0.10857,0.14449,0.14050,0.52130,0.49567,-0.48895,0.49344,1.29920
0.10857,0.14446,0.14050,0.52130,0.49567,-0.48895,0.49344,1.33403
0.10857,0.14442,0.14050,0.52130,0.49567,-0.48895,0.49344,1.36891
0.10856,0.14439,0.14050,0.52130,0.49567,-0.48895,0.49344,1.40383
0.10856,0.14435,0.14050,0.52130,0.49567,-0.48895,0.49344,1.43879
0.10856,0.14432,0.14050,0.52130,0.49567,-0.48895,0.49344,1.47379
0.10856,0.14428,0.14049,0.52130,0.49567,-0.48895,0.49344,1.50882
0.10856,0.14425,0.14049,0.52130,0.49567,-0.48895,0.49344,1.54389
0.10856,0.14421,0.14049,0.52130,0.49567,-0.48895,0.49344,1.57899
0.10856,0.14418,0.14049,0.52130,0.49567,-0.48895,0.49344,1.61412
0.10856,0.14414,0.14049,0.52130,0.49567,-0.48895,0.49344,1.64927
0.10856,0.14411,0.14049,0.52130,0.49567,-0.48895,0.49344,1.68444
0.10856,0.14407,0.14049,0.52130,0.49567,-0.48895,0.49344,1.71964
0.10856,0.14404,0.14049,0.52130,0.49567,-0.48895,0.49344,1.75485
0.10856,0.14400,0.14048,0.52130,0.49567,-0.48895,0.49344,1.79007
0.10856,0.14397,0.14048,0.52130,0.49567,-0.48895,0.49344,1.82531
0.10856,0.14393,0.14048,0.52130,0.49567,-0.48895,0.49344,1.86055
0.10855,0.14390,0.14048,0.52130,0.49567,-0.48895,0.49344,1.89580
0.10855,0.14386,0.14048,0.52130,0.49567,-0.48895,0.49344,1.93105
0.10855,0.14383,0.14048,0.52130,0.49567,-0.48895,0.49344,1.96630
0.10855,0.14379,0.14048,0.52130,0.49567,-0.48895,0.49344,2.00154
0.10855,0.14376,0.14048,0.52130,0.49567,-0.48895,0.49344,2.03678
0.10855,0.14372,0.14047,0.52130,0.49567,-0.48895,0.49344,2.07200
0.10855,0.14369,0.14047,0.52130,0.49567,-0.48895,0.49344,2.10722
0.10855,0.14365,0.14047,0.52130,0.49567,-0.48895,0.49344,2.14241
0.10855,0.14362,0.14047,0.52130,0.49567,-0.48895,0.49344,2.17758
0.10855,0.14358,0.14047,0.52130,0.49567,-0.48895,0.49344,2.21273
0.10855,0.14355,0.14047,0.52130,0.49567,-0.48895,0.49344,2.24786
0.10855,0.14351,0.14047,0.52130,0.49567,-0.48895,0.49344,2.28295
0.10855,0.14348,0.14047,0.52130,0.49567,-0.48895,0.49344,2.31801
