x,y,z,px,py,pz,pw,u
-0.42325,-0.23450,0.13675,-0.51333,0.43074,0.47712,0.56861,0.00000
-0.42325,-0.23410,0.13675,-0.51332,0.43076,0.47714,0.56859,0.00804
-0.42325,-0.23370,0.13675,-0.51330,0.43078,0.47716,0.56857,0.02010
-0.42325,-0.23331,0.13675,-0.51328,0.43080,0.47718,0.56855,0.03619
-0.42325,-0.23292,0.13676,-0.51327,0.43081,0.47720,0.56853,0.05629
-0.42325,-0.23254,0.13676,-0.51325,0.43083,0.47722,0.56852,0.08042
-0.42325,-0.23217,0.13676,-0.51324,0.43085,0.47725,0.56850,0.10857
-0.42325,-0.23181,0.13676,-0.51322,0.43087,0.47727,0.56848,0.14073
-0.42325,-0.23147,0.13677,-0.51320,0.43089,0.47729,0.56846,0.17692
-0.42325,-0.23114,0.13677,-0.51319,0.43091,0.47731,0.56844,0.21713
-0.42325,-0.23083,0.13678,-0.51317,0.43093,0.47733,0.56843,0.26136
-0.42325,-0.23054,0.13678,-0.51315,0.43095,0.47735,0.56841,0.30961
-0.42325,-0.23026,0.13679,-0.51314,0.43097,0.47737,0.56839,0.36188
-0.42325,-0.23001,0.13679,-0.51312,0.43099,0.47740,0.56837,0.41818
-0.42325,-0.22978,0.13680,-0.51311,0.43101,0.47742,0.56835,0.47849
-0.42325,-0.22957,0.13681,-0.51309,0.43103,0.47744,0.56834,0.54283
-0.42325,-0.22939,0.13681,-0.51307,0.43105,0.47746,0.56832,0.61118
-0.42325,-0.22922,0.13682,-0.51306,0.43107,0.47748,0.56830,0.68356
-0.42325,-0.22909,0.13683,-0.51304,0.43109,0.47750,0.56828,0.75996
-0.42325,-0.22897,0.13684,-0.51303,0.43111,0.47752,0.56826,0.84038
-0.42325,-0.22889,0.13684,-0.51301,0.43113,0.47754,0.56824,0.92481
-0.42325,-0.22882,0.13685,-0.51299,0.43115,0.47757,0.56823,1.01328
-0.42325,-0.22879,0.13686,-0.51298,0.43117,0.47759,0.56821,1.10576
-0.42325,-0.22877,0.13687,-0.51296,0.43119,0.47761,0.56819,1.20226
-0.42325,-0.22878,0.13688,-0.51295,0.43121,0.47763,0.56817,1.30278
-0.42325,-0.22882,0.13689,-0.51293,0.43123,0.47765,0.56815,1.40331
-0.42325,-0.22887,0.13690,-0.51292,0.43125,0.47767,0.56813,1.50383
-0.42325,-0.22895,0.13691,-0.51290,0.43127,0.47769,0.56811,1.60435
-0.42325,-0.22905,0.13692,-0.51289,0.43129,0.47771,0.56810,1.70487
-0.42325,-0.22917,0.13693,-0.51287,0.43131,0.47773,0.56808,1.80540
-0.42325,-0.22931,0.13694,-0.51285,0.43133,0.47775,0.56806,1.90592
-0.42325,-0.22946,0.13695,-0.51284,0.43135,0.47777,0.56804,2.00644
-0.42325,-0.22963,0.13697,-0.51282,0.43137,0.47780,0.56802,2.10697
-0.42325,-0.22982,0.13698,-0.51281,0.43139,0.47782,0.56800,2.20749
-0.42325,-0.23001,0.13699,-0.51279,0.43141,0.47784,0.56798,2.30801
-0.42325,-0.23022,0.13700,-0.51278,0.43143,0.47786,0.56796,2.40854
-0.42325,-0.23044,0.13701,-0.51276,0.43145,0.47788,0.56794,2.50906
-0.42325,-0.23067,0.13702,-0.51275,0.43147,0.47790,0.56792,2.60958
-0.42325,-0.23090,0.13703,-0.51273,0.43149,0.47792,0.56790,2.71010
-0.42325,-0.23114,0.13704,-0.51272,0.43151,0.47794,0.56788,2.81063
-0.42325,-0.23138,0.13705,-0.51270,0.43153,0.47796,0.56787,2.91115
-0.42325,-0.23162,0.13706,-0.51269,0.43155,0.47798,0.56785,3.01167
-0.42325,-0.23186,0.13707,-0.51268,0.43157,0.47800,0.56783,3.11219
