x,y,z,qx,qy,qz,qw,u
0.25527,0.44555,0.14151,-0.43446,-0.51753,0.56066,-0.47860,0.00000
0.25527,0.44554,0.14151,-0.43448,-0.51752,0.56064,-0.47862,0.00804
0.25527,0.44553,0.14151,-0.43450,-0.51750,0.56062,-0.47864,0.02010
0.25527,0.44551,0.14151,-0.43452,-0.51748,0.56061,-0.47867,0.03619
0.25527,0.44549,0.14152,-0.43453,-0.51748,0.56059,-0.47869,0.05629
0.25527,0.44547,0.14152,-0.43455,-0.51745,0.56058,-0.47871,0.08042
0.25527,0.44544,0.14152,-0.43457,-0.51744,0.56055,-0.47873,0.10857
0.25527,0.44541,0.14152,-0.43459,-0.51742,0.56053,-0.47875,0.14073
0.25527,0.44537,0.14153,-0.43461,-0.51740,0.56052,-0.47877,0.17692
0.25527,0.44533,0.14153,-0.43463,-0.51739,0.56049,-0.47879,0.21713
0.25527,0.44529,0.14154,-0.43465,-0.51737,0.56048,-0.47881,0.26136
0.25527,0.44524,0.14154,-0.43467,-0.51735,0.56047,-0.47883,0.30961
0.25527,0.44519,0.14155,-0.43469,-0.51734,0.56044,-0.47885,0.36188
0.25527,0.44513,0.14155,-0.43471,-0.51732,0.56042,-0.47888,0.41818
0.25527,0.44507,0.14156,-0.43473,-0.51731,0.56040,-0.47890,0.47849
0.25527,0.44501,0.14156,-0.43475,-0.51729,0.56039,-0.47892,0.54283
0.25527,0.44494,0.14156,-0.43477,-0.51727,0.56037,-0.47894,0.61118
0.25527,0.44487,0.14157,-0.43479,-0.51726,0.56035,-0.47896,0.68356
0.25528,0.44479,0.14158,-0.43482,-0.51724,0.56033,-0.47898,0.75996
0.25528,0.44471,0.14159,-0.43483,-0.51723,0.56031,-0.47900,0.84038
0.25528,0.44463,0.14159,-0.43486,-0.51721,0.56029,-0.47902,0.92481
0.25528,0.44454,0.14160,-0.43487,-0.51719,0.56028,-0.47905,1.01328
0.25528,0.44445,0.14161,-0.43489,-0.51718,0.56026,-0.47907,1.10576
0.25528,0.44435,0.14161,-0.43491,-0.51716,0.56024,-0.47909,1.20226
0.25528,0.44425,0.14162,-0.43493,-0.51715,0.56022,-0.47911,1.30278
0.25528,0.44415,0.14163,-0.43496,-0.51713,0.56020,-0.47913,1.40331
0.25528,0.44405,0.14164,-0.43497,-0.51712,0.56018,-0.47915,1.50383
0.25528,0.44395,0.14165,-0.43500,-0.51710,0.56016,-0.47917,1.60435
0.25528,0.44385,0.14166,-0.43501,-0.51709,0.56015,-0.47918,1.70487
0.25528,0.44375,0.14167,-0.43504,-0.51707,0.56013,-0.47921,1.80540
0.25528,0.44365,0.14167,-0.43506,-0.51705,0.56011,-0.47923,1.90592
0.25529,0.44355,0.14168,-0.43508,-0.51704,0.56009,-0.47925,2.00644
0.25529,0.44345,0.14170,-0.43510,-0.51702,0.56007,-0.47927,2.10697
0.25529,0.44335,0.14171,-0.43512,-0.51701,0.56005,-0.47929,2.20749
0.25529,0.44325,0.14172,-0.43514,-0.51699,0.56003,-0.47931,2.30801
0.25529,0.44315,0.14173,-0.43516,-0.51698,0.56001,-0.47933,2.40854
0.25529,0.44305,0.14173,-0.43518,-0.51696,0.55999,-0.47936,2.50906
0.25529,0.44295,0.14174,-0.43520,-0.51695,0.55997,-0.47937,2.60958
0.25529,0.44285,0.14175,-0.43522,-0.51693,0.55995,-0.47940,2.71010
0.25529,0.44275,0.14176,-0.43524,-0.51692,0.55993,-0.47941,2.81063
0.25529,0.44265,0.14177,-0.43526,-0.51690,0.55992,-0.47943,2.91115
0.25529,0.44255,0.14178,-0.43528,-0.51689,0.55990,-0.47945,3.01167
